Category,Brand,Model,Platform,Review,Ground_Truth
Refrigerator,Samsung,Bespoke French Door,Amazon,Staff at the store didn't know the specs. Very disappointed.,NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Amazon,Loved seeing the product in person before buying. Premium feel!,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Amazon,Best purchase! The on-site visit convinced me to go for this model.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Amazon,"Loud noise during operation, very distracting.",NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Amazon,Store staff was knowledgeable and the product works perfectly.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Amazon,Loved seeing the product in person before buying. Premium feel!,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Amazon,In-store demo unit looked much better than what was delivered.,NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Amazon,"Standard performance, similar to the previous year's model.",NEUTRAL
Refrigerator,Samsung,Bespoke French Door,Amazon,In-store demo unit looked much better than what was delivered.,NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Amazon,Store staff was knowledgeable and the product works perfectly.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Amazon,"Works as intended, but the build could be sturdier.",NEUTRAL
Refrigerator,Samsung,Bespoke French Door,Amazon,Best purchase! The on-site visit convinced me to go for this model.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Amazon,"Decent quality, but I expected more features after seeing the demo.",NEUTRAL
Refrigerator,Samsung,Bespoke French Door,Amazon,Staff at the store didn't know the specs. Very disappointed.,NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Amazon,In-store demo unit looked much better than what was delivered.,NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Amazon,"Poor build quality, stopped working after a week.",NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Amazon,Staff at the store didn't know the specs. Very disappointed.,NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Amazon,Not worth the price. Much better options available in other stores.,NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Amazon,"Poor build quality, stopped working after a week.",NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Amazon,The in-store discount was a great bonus. Product is top-notch.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Amazon,The in-store discount was a great bonus. Product is top-notch.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Amazon,In-store demo unit looked much better than what was delivered.,NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Amazon,Store staff was knowledgeable and the product works perfectly.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Flipkart,Loved seeing the product in person before buying. Premium feel!,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Flipkart,Very sleek design and extremely user-friendly.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Flipkart,"Decent quality, but I expected more features after seeing the demo.",NEUTRAL
Refrigerator,Samsung,Bespoke French Door,Flipkart,Best purchase! The on-site visit convinced me to go for this model.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Flipkart,"Decent quality, but I expected more features after seeing the demo.",NEUTRAL
Refrigerator,Samsung,Bespoke French Door,Flipkart,Store staff was knowledgeable and the product works perfectly.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Flipkart,The in-store discount was a great bonus. Product is top-notch.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Flipkart,"The on-site visit was a waste of time, product was out of stock.",NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Flipkart,Very sleek design and extremely user-friendly.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Flipkart,Battery life is terrible compared to what the salesperson said.,NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Flipkart,"Defective unit received, and the store is refusing to help.",NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Flipkart,Loved seeing the product in person before buying. Premium feel!,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Flipkart,Excellent performance and build quality.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Flipkart,Excellent performance and build quality.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Flipkart,The in-store discount was a great bonus. Product is top-notch.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Flipkart,"Poor build quality, stopped working after a week.",NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Flipkart,"The on-site visit was a waste of time, product was out of stock.",NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Flipkart,"Standard performance, similar to the previous year's model.",NEUTRAL
Refrigerator,Samsung,Bespoke French Door,Flipkart,Loved seeing the product in person before buying. Premium feel!,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Flipkart,Visited the store; product is fine but the staff was a bit busy.,NEUTRAL
Refrigerator,Samsung,Bespoke French Door,Flipkart,Very sleek design and extremely user-friendly.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Flipkart,Very sleek design and extremely user-friendly.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Flipkart,Not worth the price. Much better options available in other stores.,NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Croma,"The on-site visit was a waste of time, product was out of stock.",NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Croma,Middle of the road. It gets the job done.,NEUTRAL
Refrigerator,Samsung,Bespoke French Door,Croma,"The on-site visit was a waste of time, product was out of stock.",NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Croma,Excellent performance and build quality.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Croma,"Works as intended, but the build could be sturdier.",NEUTRAL
Refrigerator,Samsung,Bespoke French Door,Croma,"Poor build quality, stopped working after a week.",NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Croma,Best purchase! The on-site visit convinced me to go for this model.,POSITIVE
